iter	Passed	Remaining
491	6022	6217
492	6036	6208
493	6053	6200
494	6067	6189
495	6080	6178
496	6093	6166
497	6106	6155
498	6119	6143
499	6132	6132
500	6145	6121
501	6158	6109
502	6171	6097
503	6184	6085
504	6197	6074
505	6210	6063
506	6224	6052
507	6237	6040
508	6250	6029
509	6263	6017
510	6277	6006
511	6290	5995
512	6303	5983
513	6316	5972
514	6329	5960
515	6342	5949
516	6356	5938
517	6372	5929
518	6389	5921
519	6404	5911
520	6418	5900
521	6431	5889
522	6445	5878
523	6459	5867
524	6474	5857
525	6490	5848
526	6504	5837
527	6517	5825
528	6529	5813
529	6544	5803
530	6559	5793
531	6573	5782
532	6587	5771
533	6600	5760
534	6613	5748
535	6627	5737
536	6640	5725
537	6653	5713
538	6667	5702
539	6681	5691
540	6694	5679
541	6707	5668
542	6720	5656
543	6733	5644
544	6746	5632
545	6758	5619
546	6771	5607
547	6800	5609
548	6814	5598
549	6827	5586
550	6840	5574
551	6853	5562
552	6866	5550
553	6879	5538
554	6893	5527
555	6907	5516
556	6920	5503
557	6933	5492
558	6946	5480
559	6960	5468
560	6973	5457
561	6987	5445
562	7000	5434
563	7015	5423
564	7029	5412
565	7044	5401
566	7061	5392
567	7074	5380
568	7088	5369
569	7101	5357
570	7114	5345
571	7127	5332
572	7140	5321
573	7154	5309
574	7167	5297
575	7180	5285
576	7194	5274
577	7207	5262
578	7220	5250
579	7233	5238
580	7246	5226
581	7259	5213
582	7272	5201
583	7285	5189
584	7298	5177
585	7312	5166
586	7325	5154
587	7338	5142
588	7352	5130
589	7365	5118
590	7378	5105
591	7391	5093
592	7403	5081
593	7416	5069
594	7429	5057
595	7443	5045
596	7456	5033
597	7470	5022
598	7485	5011
599	7502	5001
600	7516	4990
601	7530	4978
602	7543	4966
603	7556	4954
604	7570	4942
605	7583	4930
606	7596	4918
607	7610	4906
608	7622	4894
609	7636	4882
610	7650	4870
611	7664	4859
612	7678	4847
613	7692	4835
614	7705	4823
615	7719	4812
616	7734	4801
617	7750	4790
618	7767	4780
619	7780	4768
620	7793	4756
621	7807	4744
622	7820	4732
623	7833	4720
624	7846	4707
625	7859	4695
626	7873	4683
627	7886	4671
628	7899	4659
629	7912	4647
630	7925	4634
631	7938	4622
632	7951	4610
633	7965	4598
634	7979	4586
635	7993	4574
636	8007	4562
637	8022	4551
638	8037	4540
639	8051	4528
640	8064	4516
641	8083	4507
642	8097	4495
643	8110	4483
644	8124	4471
645	8138	4459
646	8151	4447
647	8164	4435
648	8178	4423
649	8191	4410
650	8204	4398
651	8218	4386
652	8231	4374
653	8244	4361
654	8257	4349
655	8270	4336
656	8282	4324
657	8296	4312
658	8309	4299
659	8322	4287
660	8335	4274
661	8347	4262
662	8360	4249
663	8373	4237
664	8386	4224
665	8399	4212
666	8413	4200
667	8427	4188
668	8440	4176
669	8453	4163
670	8466	4151
671	8479	4138
672	8494	4127
673	8511	4116
674	8526	4105
675	8541	4093
676	8555	4081
677	8569	4069
678	8583	4057
679	8596	4045
680	8609	4033
681	8623	4021
682	8636	4008
683	8650	3996
684	8663	3983
685	8676	3971
686	8690	3959
687	8703	3946
688	8716	3934
689	8729	3921
690	8742	3909
691	8767	3902
692	8781	3890
693	8794	3877
694	8807	3864
695	8820	3852
696	8832	3839
697	8845	3827
698	8859	3814
699	8871	3802
700	8884	3789
701	8898	3777
702	8912	3765
703	8925	3752
704	8938	3740
705	8951	3727
706	8965	3715
707	8979	3703
708	8992	3690
709	9006	3678
710	9021	3666
711	9035	3654
712	9049	3642
713	9062	3630
714	9076	3617
715	9095	3607
716	9112	3596
717	9130	3585
718	9145	3574
719	9158	3561
720	9171	3549
721	9185	3536
722	9197	3523
723	9210	3511
724	9223	3498
725	9236	3485
726	9249	3473
727	9262	3460
728	9275	3447
729	9287	3435
730	9301	3422
731	9314	3410
732	9327	3397
733	9340	3384
734	9354	3372
735	9367	3360
736	9381	3347
737	9394	3335
738	9408	3322
739	9421	3310
740	9435	3297
741	9448	3285
742	9461	3272
743	9475	3260
744	9488	3247
745	9501	3235
746	9516	3222
747	9532	3211
748	9547	3199
749	9561	3187
750	9573	3174
751	9586	3161
752	9600	3149
753	9612	3136
754	9626	3123
755	9639	3111
756	9652	3098
757	9667	3086
758	9680	3073
759	9694	3061
760	9707	3048
761	9721	3036
762	9734	3023
763	9747	3011
764	9760	2998
765	9774	2985
766	9787	2973
767	9800	2960
768	9813	2947
769	9826	2935
770	9839	2922
771	9852	2909
772	9866	2897
773	9879	2884
774	9893	2872
775	9905	2859
776	9918	2846
777	9931	2833
778	9944	2821
779	9957	2808
780	9970	2795
781	9984	2783
782	9998	2770
783	10012	2758
784	10026	2746
785	10039	2733
786	10052	2720
787	10065	2707
788	10079	2695
789	10092	2682
790	10111	2671
791	10125	2659
792	10138	2646
793	10152	2633
794	10164	2621
795	10178	2608
796	10191	2595
797	10205	2583
798	10219	2570
799	10232	2558
800	10245	2545
801	10258	2532
802	10272	2520
803	10285	2507
804	10298	2494
805	10310	2481
806	10324	2469
807	10336	2456
808	10349	2443
809	10363	2430
810	10376	2418
811	10389	2405
812	10403	2392
813	10416	2380
814	10430	2367
815	10444	2355
816	10459	2342
817	10475	2330
818	10493	2319
819	10507	2306
820	10520	2293
821	10534	2281
822	10551	2269
823	10566	2256
824	10580	2244
825	10594	2231
826	10607	2218
827	10619	2206
828	10632	2193
829	10644	2180
830	10659	2167
831	10672	2155
832	10686	2142
833	10698	2129
834	10711	2116
835	10724	2103
836	10737	2090
837	10750	2078
838	10763	2065
839	10776	2052
840	10789	2039
841	10801	2026
842	10814	2014
843	10828	2001
844	10841	1988
845	10855	1976
846	10867	1963
847	10880	1950
848	10893	1937
849	10906	1924
850	10919	1911
851	10932	1899
852	10946	1886
853	10960	1873
854	10973	1861
855	10986	1848
856	11001	1835
857	11016	1823
858	11031	1810
859	11044	1797
860	11057	1785
861	11070	1772
862	11083	1759
863	11097	1746
864	11110	1734
865	11129	1722
866	11145	1709
867	11159	1697
868	11172	1684
869	11185	1671
870	11199	1658
871	11213	1645
872	11226	1633
873	11240	1620
874	11253	1607
875	11266	1594
876	11279	1581
877	11292	1569
878	11305	1556
879	11318	1543
880	11331	1530
881	11344	1517
882	11358	1504
883	11371	1492
884	11384	1479
885	11397	1466
886	11411	1453
887	11424	1440
888	11437	1428
889	11451	1415
890	11464	1402
891	11477	1389
892	11490	1376
893	11504	1364
894	11517	1351
895	11529	1338
896	11542	1325
897	11557	1312
898	11573	1300
899	11588	1287
900	11601	1274
901	11615	1261
902	11629	1249
903	11642	1236
904	11656	1223
905	11670	1210
906	11684	1198
907	11697	1185
908	11711	1172
909	11729	1160
910	11745	1147
911	11759	1134
912	11775	1122
913	11789	1109
914	11806	1096
915	11831	1084
916	11848	1072
917	11863	1059
918	11878	1046
919	11891	1034
920	11905	1021
921	11918	1008
922	11931	995
923	11945	982
924	11959	969
925	11973	956
926	11987	943
927	12001	931
928	12017	918
929	12031	905
930	12045	892
931	12058	879
932	12072	866
933	12086	854
934	12098	841
935	12112	828
936	12126	815
937	12140	802
938	12161	790
939	12176	777
940	12190	764
941	12204	751
942	12218	738
943	12233	725
944	12247	712
945	12260	699
946	12274	686
947	12287	674
948	12301	661
949	12315	648
950	12328	635
951	12342	622
952	12354	609
953	12368	596
954	12381	583
955	12394	570
956	12408	557
957	12422	544
958	12435	531
959	12449	518
960	12462	505
961	12476	492
962	12489	479
963	12501	466
964	12515	453
965	12529	440
966	12543	428
967	12557	415
968	12571	402
969	12590	389
970	12605	376
971	12618	363
972	12632	350
973	12645	337
974	12658	324
975	12671	311
976	12684	298
977	12697	285
978	12711	272
979	12724	259
980	12738	246
981	12751	233
982	12764	220
983	12777	207
984	12789	194
985	12803	181
986	12817	168
987	12830	155
988	12844	142
989	12857	129
990	12870	116
991	12883	103
992	12897	90
993	12910	77
994	12923	64
995	12937	51
996	12951	38
997	12964	25
998	12977	12
999	12992	0
