iter	Logloss
0	0.6810086754
1	0.6696190314
2	0.6587539613
3	0.648604724
4	0.6390395549
5	0.6299867594
6	0.621425473
7	0.6133499299
8	0.6056392652
9	0.5984993432
10	0.5916566483
11	0.5851838548
12	0.5791956673
13	0.5735473289
14	0.5681849251
15	0.56315953
16	0.5584161054
17	0.553853398
18	0.549610975
19	0.5455865166
20	0.5418281307
21	0.5382109994
22	0.5348696368
23	0.5316240003
24	0.5286386143
25	0.5257722687
26	0.5231226466
27	0.5205525753
28	0.5181921885
29	0.5159586211
30	0.5138547212
31	0.5118599238
32	0.5099841139
33	0.508212268
34	0.5065234989
35	0.5049053803
36	0.5033628967
37	0.5019535642
38	0.5006217119
39	0.4993624739
40	0.4981361286
41	0.4970011472
42	0.4959129306
43	0.4949101529
44	0.4939623712
45	0.493066505
46	0.4921111982
47	0.4912417004
48	0.4903873473
49	0.4896036444
50	0.4888642586
51	0.4882165835
52	0.4875987404
53	0.4870052562
54	0.4864662339
55	0.4859563966
56	0.4854707258
57	0.4850145404
58	0.484557501
59	0.4841309252
60	0.4837431148
61	0.4833218419
62	0.4829722144
63	0.4826442819
64	0.4822889654
65	0.4819567809
66	0.4816094114
67	0.4813407979
68	0.4810819765
69	0.4808244378
70	0.4805474411
71	0.4802873575
72	0.480085528
73	0.4798366399
74	0.4796589792
75	0.4794695389
76	0.4793046945
77	0.479095283
78	0.4788548522
79	0.4787199369
80	0.4785363119
81	0.4784155392
82	0.4783011603
83	0.478192833
84	0.4780895927
85	0.477926306
86	0.4777967235
87	0.4776552192
88	0.477572959
89	0.4774834905
90	0.4774051217
91	0.4772953483
92	0.4772291538
93	0.4770935064
94	0.4769042429
95	0.4768314314
96	0.4767474325
97	0.4766965566
98	0.4766172332
99	0.4764493873
100	0.4764008726
101	0.4762898293
102	0.4761481488
103	0.4760459174
104	0.4760121271
105	0.4759152706
106	0.4757731639
107	0.475744628
108	0.4756484798
109	0.475618267
110	0.4755903725
111	0.4755268101
112	0.4754306345
113	0.4753533641
114	0.4752850034
115	0.4752019834
116	0.4751490221
117	0.4750641467
118	0.4749969636
119	0.4749336286
120	0.4748848266
121	0.474851473
122	0.4748384759
123	0.4747570187
124	0.4747301857
125	0.4746582405
126	0.4745847077
127	0.4745546902
128	0.4744873287
129	0.4744311101
130	0.4744232157
131	0.4743594367
132	0.4742262212
133	0.4741310972
134	0.474042152
135	0.4740002581
136	0.473965613
137	0.4739236562
138	0.4738562215
139	0.4737948208
140	0.4737779302
141	0.4737134602
142	0.4737094566
143	0.473638164
144	0.4735719672
145	0.4735147656
146	0.4734989767
147	0.4734140321
148	0.4733071262
149	0.4733045719
150	0.4732871841
151	0.4732446067
152	0.4731809798
153	0.4731506065
154	0.4730983904
155	0.473081121
156	0.4730579935
157	0.4729687404
158	0.4728885914
159	0.4728593287
160	0.4728114494
161	0.4727600898
162	0.4727202769
163	0.4726887055
164	0.4726130108
165	0.4725888796
166	0.4725280253
167	0.4724928341
168	0.4723997544
169	0.4723218037
170	0.4722981746
171	0.4721308183
172	0.4720932144
173	0.4720452074
174	0.4719622616
175	0.4719501295
176	0.4718611033
177	0.4717942299
178	0.4717723208
179	0.4717691824
180	0.4717465323
181	0.4716763148
182	0.4716363337
183	0.4715584679
184	0.4714886621
185	0.4713641342
186	0.4712997539
187	0.4712226625
188	0.4712001422
189	0.4711984482
190	0.4711529795
191	0.4710889272
192	0.4710391828
193	0.4709960485
194	0.4709792732
195	0.4709591755
196	0.4709525013
197	0.4709254396
198	0.4708627597
199	0.4708143389
200	0.4707916346
201	0.4707322909
202	0.4706647707
203	0.4706238008
204	0.4705765766
205	0.4705579294
206	0.4705353194
207	0.4705066494
208	0.4704615591
209	0.4703950862
210	0.4703111188
211	0.4703020341
212	0.4702517171
213	0.4701774753
214	0.470163096
215	0.4701336962
216	0.4700823887
217	0.470016759
218	0.4699290954
219	0.4698596329
220	0.4698158035
221	0.469791616
222	0.4697574049
223	0.4697271643
224	0.4696896356
225	0.4696844522
226	0.4696524889
227	0.4695940757
228	0.4695587561
229	0.4695187957
230	0.4694864592
231	0.4694198096
232	0.4694011378
233	0.4693666158
234	0.4693552788
235	0.469239119
236	0.4692085557
237	0.469136334
238	0.4691018483
239	0.4690386142
240	0.4689596681
241	0.4689476697
242	0.4689415261
243	0.4688699684
244	0.4688666105
245	0.4688329934
246	0.4687770597
247	0.4687465002
248	0.4687226087
249	0.4686356552
250	0.4685803552
251	0.4685370197
252	0.468511953
253	0.4685010314
254	0.4684652192
255	0.4683703429
256	0.4683536696
257	0.4683067519
258	0.4682830912
259	0.4682749028
260	0.4682746981
261	0.4682364572
262	0.4681839701
263	0.4681426541
264	0.4680858896
265	0.4680000739
266	0.4679699633
267	0.4679374879
268	0.4679373767
269	0.4679261122
270	0.4678977845
271	0.4678240584
272	0.4677243582
273	0.4677045767
274	0.4676764657
275	0.4676093216
276	0.4675701904
277	0.46755082
278	0.4675273921
279	0.4673992909
280	0.4673628613
281	0.4673252315
282	0.467304766
283	0.4672504356
284	0.467236189
285	0.4672171696
286	0.4671465443
287	0.4671406662
288	0.4670881247
289	0.4670743504
290	0.4670469695
291	0.4670469657
292	0.4670054089
293	0.4670053302
294	0.4669508139
295	0.4668814085
296	0.4667827874
297	0.4666933918
298	0.4666685339
299	0.466618641
300	0.4665021888
301	0.4664786184
302	0.4664296091
303	0.4663620078
304	0.4662977812
305	0.4662478109
306	0.4662470951
307	0.466119544
308	0.4660949389
309	0.466054001
310	0.4660425333
311	0.4660262681
312	0.466026191
313	0.4659935496
314	0.465959805
315	0.4659327753
316	0.4659150944
317	0.4658724952
318	0.4658175916
319	0.4657483441
320	0.4657344501
321	0.46565312
322	0.4655218086
323	0.4654884552
324	0.4654460126
325	0.4653912035
326	0.4653911774
327	0.465350603
328	0.4653270341
329	0.4652571265
330	0.4651727234
331	0.4651520152
332	0.4651242316
333	0.4650977118
334	0.4650977046
335	0.465069762
336	0.4650038354
337	0.4649904838
338	0.4649637801
339	0.464909923
340	0.4648994365
341	0.464857936
342	0.4647900372
343	0.4647233341
344	0.4647191131
345	0.4646514365
346	0.4645079107
347	0.4644727489
348	0.4644551306
349	0.4644333345
350	0.464336068
351	0.4643227701
352	0.464248926
353	0.464244587
354	0.4642181849
355	0.4641438679
356	0.464135225
357	0.463984386
358	0.4639252991
359	0.4638236184
360	0.4637943222
361	0.4637644768
362	0.4637391884
363	0.4637110466
364	0.4636496555
365	0.4636082141
366	0.4635874134
367	0.4635511676
368	0.4635405079
369	0.463513819
370	0.4634908628
371	0.463429333
372	0.4633665225
373	0.463280511
374	0.4631794105
375	0.4631372392
376	0.4630680346
377	0.4628878868
378	0.4628321548
379	0.4627712918
380	0.4627045267
381	0.4626859822
382	0.462624153
383	0.4625180965
384	0.4623851738
385	0.4623325927
386	0.4623318718
387	0.4622627759
388	0.4621788746
389	0.462128013
390	0.4620647244
391	0.4620019591
392	0.4619776387
393	0.4618940549
394	0.4618899785
395	0.4617943589
396	0.4616719604
397	0.4616469345
398	0.4616452038
399	0.4616332968
400	0.4615666243
401	0.4614960811
402	0.461392661
403	0.4613890325
404	0.4613436572
405	0.4612568266
406	0.4612371635
407	0.4612089045
408	0.4611714609
409	0.4610900721
410	0.4610889723
411	0.4610364459
412	0.4610112675
413	0.4609908658
414	0.4608604333
415	0.4608314744
416	0.4608094913
417	0.4608082283
418	0.4607617276
419	0.4606364881
420	0.4605823179
421	0.4605648042
422	0.460550415
423	0.4605341965
424	0.4605318115
425	0.4605084064
426	0.4604730564
427	0.4603489339
428	0.460145675
429	0.4600622431
430	0.4600153997
431	0.459963958
432	0.459963869
